hsid,hsname.1,nickname,city
16356,Tomball Memorial,Wildcats,"Tomball,TX"
16445,Hilliard Bradley,Jaguars,"Hilliard,OH"
1637,Wilson,Bruins,"Long Beach,CA"
1887,Loyola,Cubs,"Los Angeles,CA"
2395,Camarillo,Scorpions,"Camarillo,CA"
1092,Canyon del Oro,Dorados,"Tucson,AZ"
1641,Northview,Vikings,"Covina,CA"
8671,Archbishop McCarthy,Mavericks,"Fort Lauderdale,FL"
1506,Key West,Conchs,"Key West,FL"
3997,Colleyville Heritage,Panthers,"Colleyville,TX"
5933,Maine South,Hawks,"Park Ridge,IL"
974,James Martin,Warriors,"Arlington,TX"
1050,Mountain View,Toros,"Mesa,AZ"
389,Yuba City,Honkers,"Yuba City,CA"
67,Churchill,Chargers,"San Antonio,TX"
4855,Glenbrook North,Spartans,"Northbrook,IL"
3856,Chatfield,Chargers,"Littleton,CO"
1951,Plano,Wildcats,"Plano,TX"
1489,San Clemente,Tritons,"San Clemente,CA"
2205,Palo Alto,Vikings,"Palo Alto,CA"
8582,Woodstock,Wolverines,"Woodstock,GA"
49,Lincoln,Golden Lions,"Gahanna,OH"
639,Clay,Blue Devils,"Green Cove Springs,FL"
2921,Ponderosa,Mustangs,"Parker,CO"
4454,Eden Prairie,Eagles,"Eden Prairie,MN"
4624,Charles Flanagan,Falcons,"Pembroke Pines,FL"
1309,Centennial,Golden Hawks,"Bakersfield,CA"
4749,Freehold Township,Patriots,"Freehold,NJ"
2544,Bryant,Hornets,"Bryant,AR"
178,Magnolia,Bulldogs,"Magnolia,TX"
2729,Lindbergh,Flyers,"St. Louis,MO"
6156,Mercer Island,Islanders,"Mercer Island,WA"
6093,McEachern,Indians,"Powder Springs,GA"
10591,Normal West,Wildcats,"Normal,IL"
883,Jackson,Timberwolves,"Mill Creek,WA"
6776,Park Hill,Trojans,"Kansas City,MO"
7366,Seaman,Vikings,"Topeka,KS"
6662,Ocean Lakes,Dolphins,"Virginia Beach,VA"
7043,Rancoccas Valley Regional,Red Devils,"Mount Holly,NJ"
4767,Frontier,Titans,"Bakersfield,CA"
3639,Carl Sandburg,Eagles,"Orland Park,IL"
1856,Quartz Hill,Rebels,"Quartz Hill,CA"
1939,Grapevine,Mustangs,"Grapevine,TX"
4817,Georgetown Prep,Little Hoyas,"North Bethesda,MD"
724,Notre Dame College Prep,Dons,"Niles,IL"
80,Taravella,Trojans,"Coral Springs,FL"
2168,Carroll,Golden Rams,"Fort Pierce,FL"
6655,Oakmont,Vikings,"Roseville,CA"
1421,Myers Park,Mustangs,"Charlotte,NC"
5207,Holy Ghost Prep,Firebirds,"Philadelphia,PA"
3208,Bartram Trail,Bears,"St. Johns,FL"
12943,Wakeland,Wolverines,"Frisco,TX"
6192,Middletown South,Eagles,"Middletown,NJ"
1184,Wayzata,Trojans,"Plymouth,MN"
3470,Bridgewater Raritan,Panthers,"Bridgewater,NJ"
5231,Hopkins,Royals,"Minnetonka,MN"
10737,Colonie Central,,"Albany,NY"
8759,Queen Creek,Bulldogs,"Queen Creek,AZ"
9370,Battlefield,Bobcats,"Haymarket,VA"
452,Mount Carmel,Aces,"Mount Carmel,IL"
13555,Allatoona,Buccaneers,"Acworth,GA"
8268,Washburn Rural,Blues,"Topeka,KS"
2146,Brighton,Bulldogs,"Brighton,MI"
11250,Manheim Township,Lions,"Lancaster,PA"
8751,John H. Guyer,Wildcats,"Denton,TX"
14552,George Ranch,Longhorns,"Richmond,TX"
9314,Jensen Beach,Falcons,"Jensen Beach,FL"
2928,Blaine,Bengals,"Blaine,MN"
13187,Verona Area,Wildcats,"Verona,WI"
8802,Amity Regional,Spartans,"Woodbridge,CT"
9075,Winter Springs,Bears,"Winter Springs,FL"
5472,Katy,Tigers,"Katy,TX"
5760,Liberty,Patriots,"Bakersfield,CA"
7696,St. Edward,Eagles,"Lakewood,OH"
1732,MacArthur,Generals,"Levittown,NY"
10508,Belmont Hill,Hillies,"Belmont,MA"
7038,Ramapo,Raiders,"Franklin Lakes,NJ"
10830,Dutch Fork,Silver Foxes,"Irmo,SC"
13809,Hough,Huskies,"Cornelius,NC"
1047,Mountain View,Wildcats,"Stafford,VA"
4133,Cumberland Valley,Eagles,"Mechanicsburg,PA"
3472,Bridgewater-Raynham Regional,Trojans,"Bridgewater,MA"
2216,American Fork,Cavemen,"American Fork,UT"
13787,West Broward,Bobcats,"Miami,FL"
8790,Rock Canyon,Jaguars,"Highlands Ranch,CO"
13547,San Juan Hills,Stallions,"San Juan Capistrano,CA"
321,Franklin,Wildcats,"Elk Grove,CA"
12478,Sachse,Mustangs,"Garland,TX"
728,Franklin,Panthers,"Franklin,MA"
11656,The Haverford School,Fords,"Haverford,PA"
9460,Grassfield,Grizzlies,"Chesapeake,VA"
10141,Clarkstown South,Vikings,"West Nyack,NY"
10023,Waukee,Warriors ,"Waukee,IA"
10561,Muskego,Warriors,"Muskego,WI"
14890,Lincoln-Way West,Warriors,"New Lenox,IL"
8626,Yorktown,Huskers,"Yorktown Heights,NY"
5252,Howell,Highlanders,"Howell,MI"
9734,Bakersfield Christian,Eagles,"Bakersfield,CA"
2858,Sycamore,Spartans,"Sycamore,IL"
14489,Whitney,Wildcats,"Rocklin,CA"
16699,Bridgeland,Bears,"Cypress,TX"
13933,Sierra Canyon,Trailblazers,"Chatsworth,CA"
14539,Rouse,Raiders,"Leander,TX"
8992,Oxford Area,Hornets,"Oxford,PA"
16036,Crean Lutheran,Saints,"Irvine,CA"
2911,Lane Tech,Indians,"Chicago,IL"
1279,Christian Brothers,Purple Wave,"Memphis,TN"
1847,Southridge,Spartans,"Miami,FL"
44,Gulliver Prep,Raiders,"Coral Gables,FL"
1862,Cleveland,Cavaliers,"Reseda,CA"
250,Arcadia,Apaches,"Arcadia,CA"
230,Xaverian,Clippers,"Brooklyn,NY"
1831,Bishop Verot,Vikings,"Fort Myers,FL"
2554,Weatherford,Kangaroos,"Weatherford,TX"
37,Milton,Eagles,"Milton,GA"
2189,West Orange,Warriors,"Winter Garden,FL"
1842,Klein Oak,Panthers,"Spring,TX"
1446,Winter Haven,Blue Devils,"Winter Haven,FL"
1307,Redwood,Giants,"Larkspur,CA"
991,Cottonwood,Colts,"Salt Lake City,UT"
2703,Mount Carmel,Caravan,"Chicago,IL"
290,Del Campo,Cougars,"Fair Oaks,CA"
613,Dos Pueblos,Chargers,"Goleta,CA"
1433,Houston,Mustangs,"Germantown,TN"
2772,Smithtown East,Bulls,"Smithtown,NY"
6540,North Florida Christian,Eagles,"Tallahassee,FL"
1789,Madison,Warhawks,"San Diego,CA"
1761,Petal,Panthers,"Petal,MS"
3767,Portage Central,Mustangs,"Portage,MI"
9626,Ardrey Kell,Knights,"Charlotte,NC"
3395,Bonita Vista,Barons,"Chula Vista,CA"
6855,Peters Township,Indians,"McMurray,PA"
8898,Grant Community,Bulldogs,"Fox Lake,IL"
2971,Agoura,Chargers,"Agoura Hills,CA"
3323,Bishop Alemany,Warriors,"Mission Hills,CA"
2825,St. Mark's,Spartans,"Wilmington,DE"
718,Bingham,Miners,"South Jordan,UT"
3499,Brother Martin,Crusaders,"New Orleans,LA"
8165,Vanden,Vikings,"Fairfield,CA"
2461,Ankeny,Hawks,"Ankeny,IA"
2811,Hickory,Hawks,"Chesapeake,VA"
1762,Petaluma,Trojans,"Petaluma,CA"
1964,Trinity Pawling School,Lions,"Pawling,NY"
3365,Bishop Blanchet,Braves,"Seattle,WA"
885,Jackson,Polar Bears,"Massillon,OH"
11105,Jackson Prep,Patriots,"Flowood,MS"
10430,Millenium,Tigers,"Goodyear,AZ"
7833,St. Sebastians School,Arrows,"Needham,MA"
3854,Chaska,Hawks,"Chaska,MN"
2143,Durant,Cougars,"Plant City,FL"
13112,Holly Springs,Golden Hawks,"Holly Springs,NC"
2336,Henderson,Warriors,"West Chester,PA"
4785,Gardner Edgerton,Trailblazers,"Gardner,KS"
4635,Florida Christian,Patriots,"Miami,FL"
328,Adlai E. Stevenson,Patriots,"Lincolnshire,IL"
1916,Mesquite,Wildcats,"Gilbert,AZ"
12433,Red Bank Catholic,Caseys,"Red Bank,NJ"
4178,De La Salle Collegiate,Pilots,"Warren,MI"
1886,Loyola Blakefield,Dons,"Baltimore,MD"
246,Riverdale,Warriors,"Murfreesboro,TN"
6912,Plainview-Old Bethpage Kennedy,Hawks,"Plainview,NY"
2755,Orchard Park,Quakers,"Orchard Park,NY"
8302,Waterford,Lancers,"Waterford,CT"
8470,Wheaton North,Falcons,"Wheaton,IL"
10468,Westminster Christian,Wildcats,"St. Louis,MO"
3274,Benicia,Panthers,"Benicia,CA"
2091,Choctaw,Yellowjackets,"Choctaw,OK"
4428,Eastern Regional,Vikings,"Voorhees,NJ"
7037,Ralston Valley,Mustangs,"Arvada,CO"
6771,Paraclete,Spirits,"Lancaster,CA"
3257,Bellevue West,Thunderbirds,"Bellevue,NE"
11267,Mount Paran Christian,Eagles,"Kennesaw,GA"
9302,Twinsburg,Tigers,"Twinsburg,OH"
2422,Rogers,Mounties,"Rogers,AR"
1298,Hoover,Vikings,"North Canton,OH"
8374,West Allegheny,Indians,"Imperial,PA"
3872,Cherokee,Warriors,"Canton,GA"
4234,Derby,Panthers,"Derby,KS"
6898,Pitman,Pride,"Turlock,CA"
8969,Rodriguez,Mustangs,"Fairfield,CA"
14072,Verrado,Vipers,"Buckeye,AZ"
1749,Moorpark,Musketeers,"Moorpark,CA"
2246,Woodbridge,Warriors,"Irvine,CA"
617,Cactus Shadows,Falcons,"Cave Creek,AZ"
5215,Holy Trinity Diocesan,Titans,"Hicksville,NY"
3289,Berkeley Prep,Buccaneers,"Tampa,FL"
6030,Martin Luther King,Wolves,"Riverside,CA"
8008,Timber Creek,Wolves,"Orlando,FL"
3648,Carroll,Chargers,"Fort Wayne,IN"
6011,Marquette,Mustangs,"Chesterfield,MO"
7181,Rockford,Rams,"Rockford,MI"
10193,Guilderland,Flying Dutchmen,"Guilderland,NY"
1958,Arapahoe,Warriors,"Littleton,CO"
1010,Eureka,Wildcats,"Eureka,MO"
132,Douglas County,Huskies,"Castle Rock,CO"
13032,Ludlowe,Falcons,"Fairfield,CT"
392,University,Pioneers,"Normal,IL"
7414,Shelton,Gaels,"Shelton,CT"
9399,Newsome,Wolves,"Lithia,FL"
13101,Clovis North,Broncos,"Fresno,CA"
9754,Evansville North,Huskies,"Evansville,IN"
14906,Cedar Ridge,Raiders,"Round Rock,TX"
12887,Yorkville,Foxes,"Yorkville,IL"
15587,McCracken County,Mustangs,"Paducah,KY"
16014,Appoquinimink,Jaguars,"Middletown,DE"
10233,Mobile Christian,Leopards,"Mobile,AL"
6446,New Palestine,Dragons,"New Palestine,IN"
6279,Montour,Spartans,"Pittsburgh,PA"
6830,Penn-Trafford,Warriors,"Harrison City,PA"
2210,Pleasant Grove,Eagles,"Elk Grove,CA"
14068,Liberty,Lions,"Peoria,AZ"
13888,Exeter Area,Blue Hawks,"Exeter,NH"
8996,Rockwood Summit,Falcons,"Fenton,MO"
8823,Ola,Mustangs,"McDonough,GA"
13070,Hickory Ridge,Ragin' Bulls',"Harrisburg,NC"
11423,Gwendolyn Brooks,Eagles,"Chicago,IL"
10845,Lincoln East,Spartans,"Lincoln,NE"
16353,St. Johns Country Day School,Spartans,"Orange Park,FL"
1431,Germantown,Mavericks,"Madison,MS"
16456,Lone Star,Panthers,"Frisco,TX"
16882,Olathe West,Owls,"Olathe,KS"
5380,Jesuit,Blue Jays,"New Orleans,LA"
825,Thomas Jefferson,Dragons,"Tampa,FL"
2167,Brenham,Cubs,"Brenham,TX"
770,Upland,"Upland, CA","Upland,CA"
2212,Creighton Prep,Junior Jays,"Omaha,NE"
2453,Science Hill,Hilltoppers,"Johnson City,TN"
228,St. Xavier,Bombers,"Cincinnati,OH"
1629,Hanford,Bullpups,"Hanford,CA"
2870,Lakewood Ranch,Mustangs,"Bradenton,FL"
6992,Providence,Panthers,"Charlotte,NC"
2273,Liverpool,Warriors,"Liverpool,NY"
1039,Oak Forest,Bengals,"Oak Forest,IL"
7382,Seneca Valley,Raiders,"Harmony,PA"
5880,Lowndes County,Vikings,"Valdosta,GA"
792,Concordia Lutheran,Crusaders,"Tomball,TX"
1358,Oviedo,Lions,"Oviedo,FL"
2523,Westside,Warriors,"Omaha,NE"
6631,Notre Dame Prep,Saints,"Scottsdale,AZ"
5139,Hewitt-Trussville,Huskies,"Trussville,AL"
602,West Springfield,Spartans,"Springfield,VA"
3935,Clay,Eagles,"Oregon,OH"
9663,Blue Valley West,Jaguars,"Stilwell,KS"
6958,Portage Northern,Huskies,"Portage,MI"
7307,San Joaquin Memorial,Panthers,"Fresno,CA"
2019,Fairfield College Prep,Jesuits,"Fairfield,CT"
2799,Cardinal Newman,Crusaders,"West Palm Beach,FL"
938,Lake Braddock,Bruins,"Burke,VA"
6796,Patchogue-Medford,Raiders,"Patchogue,NY"
4515,Enid,Plainsmen,"Enid,OK"
1838,La Jolla Country Day School,Torreys,"La Jolla,CA"
5629,Lakeridge,Pacers,"Lake Oswego,OR"
8208,Wadsworth,Grizzlies,"Wadsworth,OH"
9658,Legacy,Broncos,"Mansfield,TX"
5242,Horseheads,Blue Raiders,"Horseheads,NY"
10551,Council Rock North,Indians,"Newton,PA"
351,Skyline,Spartans,"Sammamish,WA"
4307,Downers Grove North,Trojans,"Downers Grove,IL"
8976,Starr's Mill,Panthers,"Fayetteville,GA"
2069,College Park,Cavaliers,"The Woodlands,TX"
3305,Bethel Park,Black Hawks,"Bethel Park,PA"
8750,Lawton Chiles,Timberwolves,"Tallahassee,FL"
10932,Grove City,Eagles,"Grove City,OH"
7106,Ridgewood,Maroons,"Ridgewood,NJ"
2319,Hickman,Kewpies,"Columbia,MO"
9833,South Forsyth,War Eagles,"Cumming,GA"
4984,Gulfport,Admirals,"Gulfport,MS"
3835,Chapin,Eagles,"Chapin,SC"
620,Shawnee Mission East,Lancers,"Shawnee Mission,KS"
9657,Arbor View,Aggies,"Las Vegas,NV"
3977,Coatesville Area,Red Raiders,"Coatesville,PA"
3601,Canon-McMillan,Big Macs,"Canonsburg,PA"
4782,Garden City,Trojans,"Garden City,NY"
1266,Scripps Ranch,Falcons,"San Diego,CA"
5918,Madison Central,Indians,"Richmond,KY"
11463,Colts Neck,Cougars,"Colts Neck,NJ"
94,Central,Red Devils,"Phenix City,AL"
1312,Adlai E. Stevenson,Titans,"Sterling Heights,MI"
10765,Blythewood,Bengals,"Blythewood,SC"
129,Columbia,Blue Devils,"East Greenbush,NY"
1088,Canyon,,"New Braunfels,TX"
3360,Blackman,Blaze,"Murfreesboro,TN"
6518,North Atlanta,Warriors,"Atlanta,GA"
5551,Kings Park,Kingsmen,"Kings Park,NY"
6777,Park Hill South,Panthers,"Kansas City,MO"
8339,Webb City,Cardinals,"Jasper,MO"
208,Roosevelt,Roughriders,"Des Moines,IA"
9885,Kaneland,Knights,"Kaneland,IL"
5109,Helena,Huskies,"Helena,AL"
9456,Wiregrass Ranch,Bulls,"Wesley Chapel,FL"
4186,Decatur,Bulldogs,"Decatur,GA"
4895,Grain Valley,Eagles,"Grain Valley,MO"
14639,Jesse C Carson,Cougars,"China Grove,NC"
2270,Cleveland,Storm,"Rio Rancho,NM"
14036,North Oldham,Mustangs,"Louisville,KY"
14234,Flowery Branch,Falcons,"Flowery Branch,GA"
1954,Bowie,Bulldogs,"Austin,TX"
6671,O'Fallon Township,Panthers,"O'Fallon,IL"
2898,McQuaid Jesuit,Knights,"Rochester,NY"
598,Boyertown Area,Bears,"Boyertown,PA"
1144,Burnsville,Blaze,"Burnsville,MN"
3194,Barbers Hill,Eagles,"Mount Belvieu,TX"
5724,Leesville Road,Pride,"Raleigh,NC"
4145,Cypress Bay,Lightning,"Weston,FL"
55,Coronado,Cougars,"Henderson,NV"
5636,Lakeview,Spartans,"Battle Creek,MI"
4682,Fort Mill,Yellow Jackets,"Fort Mill,SC"
11378,Glastonbury,Tomahawks,"Glastonbury,CT"
2192,Wilson,Bulldogs,"West Lawn,PA"
12487,Lady Bird Johnson,Jaguars,"San Antonio,TX"
4157,Danbury,Hatters,"Danbury,CT"
13811,Steinbrenner,Warriors,"Tampa,FL"
3438,Brebeuf Jesuit Prep,Braves,"Indianapolis,IN"
2940,Mill Valley,Jaguars,"Shawnee,KS"
13808,Cuthbertson,Cavaliers,"Waxhaw,NC"
12733,Canterbury School,Crusaders,"Fort Myers,FL"
9109,Patriot,Pioneers,"Nokesville,VA"
9634,Otay Ranch,Mustangs,"Chula Vista,CA"
3341,Bishop McNamara,Mustangs,"Forestville,MD"
10646,Rosemount,Irish,"Rosemount,MN"
8972,Snow Canyon,Warriors,"St. George,UT"
8494,Whitesboro,Warriors,"Whitesboro,NY"
1288,Franklin,Sabers,"Franklin,WI"
11370,Rumson-Fairhaven Regional,Bulldogs,"Rumson,NJ"
12672,Owen J. Roberts,Wildcats,"Pottstown,PA"
14933,Lakeville North,Panthers,"Lakeville,MN"
5837,Locust Grove,Wildcats,"Locust Grove,GA"
9464,Walter Panas,Panthers,"Cortlandt Manor,NY"
7886,Sun Valley,Spartans,"Monroe,NC"
8179,Veterans Memorial,Eagles,"Corpus Christi,TX"
14785,Vandegrift,Vipers,"Austin,TX"
7146,Riverside-Brookfield,Bulldogs,"Brookfield,IL"
6128,Medfield,Warriors,"Medfield,MA"
16668,Charles J. Colgan,Sharks,"Manassas,VA"
10387,Eau Claire North,Huskies,"Eau Claire,WI"
12980,Glacier Peak,Grizzlies,"Snohomish,WA"
16213,West Clermont,Wolves,"Cincinnati,OH"
16476,Stewarts Creek,Redhawks,"Smyrna,TN"
257,Bellaire,Cardinals,"Bellaire,TX"
967,Mount Saint Joseph,Gaels,"Baltimore,MD"
1725,Granada Hills,Highlanders,"Granada Hills,CA"
423,El Segundo,Eagles,"El Segundo,CA"
876,Turlock,Bulldogs,"Turlock,CA"
82,Broken Arrow,Tigers,"Broken Arrow,OK"
1061,Riverview,Rams,"Sarasota,FL"
1722,Waxahachie,Indians,"Waxahachie,TX"
1012,Santana,Sultans,"Santee,CA"
1,Bullard,Knights,"Fresno,CA"
2122,St. Francis,Golden Knights,"La Canada,CA"
9557,Alonso,Ravens,"Tampa,FL"
2868,New Braunfels,Unicorns,"New Braunfels,TX"
9697,Hagerty,Huskies,"Oviedo,FL"
8,Apopka,Blue Darters,"Apopka,FL"
2457,Dowling Catholic,Maroons,"West Des Moines,IA"
58,La Cueva,Bears,"Albuquerque,NM"
4603,Fenwick,Friars,"Oak Park,IL"
2057,Santa Cruz,Cardinals,"Santa Cruz,CA"
841,Arlington,Lions,"Riverside,CA"
10410,Cinco Ranch,Cougars,"Katy,TX"
6748,Pace,Patriots,"Pace,FL"
3435,Brawley Union,Wildcats,"Brawley,CA"
3086,Archbishop Molloy,Stanners,"Jamaica,NY"
1008,Clovis,Cougars,"Clovis,CA"
2694,Wellington,Wolverines,"Wellington,FL"
428,Carmel Catholic,Corsairs,"Mundelein,IL"
172,Shaler Area,Titans,"Glenshaw,PA"
7641,Springboro,Panthers,"Springboro,OH"
1723,Fort Myers,Green Wave,"Fort Myers,FL"
5731,Leigh,Longhorns,"San Jose,CA"
4825,Gig Harbor,Tides,"Gig Harbor,WA"
10360,St. Charles East,Saints,"St. Charles,IL"
590,Alvin,Yellowjackets,"Alvin,TX"
11271,James River,Rapids,"Midlothian,VA"
10849,Legacy,Lightning,"Broomfield,CO"
7546,South Lakes,Seahawks,"Reston,VA"
11720,Washington Community,Panthers,"Washington,IL"
2053,Fresno Central,Grizzlies,"Fresno,CA"
1784,Capuchino,Mustangs,"San Bruno,CA"
1352,Seaford,Vikings,"Seaford,NY"
3930,Clarkstown North,Rams,"New City,NY"
10385,Mahtomedi,Zephyrs,"Mahtomedi,MN"
7104,Ridgeview,Wolf Pack,"Bakersfield,CA"
1891,Live Oak,Acorns,"Morgan Hill,CA"
539,Woodbury,Royals,"Woodbury,MN"
5987,Marin Catholic,Wildcats,"Kentfield,CA"
3567,Calabasas,Coyotes,"Calabasas,CA"
9257,Kennesaw Mountain,Mustangs,"Kennesaw,GA"
326,Columbine,Rebels,"Littleton,CO"
4764,Friendswood,Mustangs,"Friendswood,TX"
3105,Arundel,Wildcats,"Gambrills,MD"
7854,Stockdale,Mustangs,"Bakersfield,CA"
2621,Arvada West,Wildcats,"Arvada,CO"
6243,Moline,Maroons,"Moline,IL"
1083,Valley,Tigers,"West Des Moines,IA"
6380,Munster,Mustangs,"Munster,IN"
8636,Zachary,Broncos,"Zachary,LA"
7741,St. Josephs Collegiate,Marauders,"Buffalo,NY"
5090,Jack C. Hays,Rebels,"Buda,TX"
9672,Colonial Forge,Eagles,"Stafford,VA"
5842,Lone Peak,Knights,"Alpine,UT"
1310,Centennial,Huskies,"Corona,CA"
2865,Garnet Valley,Jaguars,"Glen Mills,PA"
1873,South Grand Prairie,Warriors,"Grand Prairie,TX"
10851,Frenship,Tigers,"Wolfforth,TX"
2783,Sandia,Matadors,"Albuquerque,NM"
2423,Rogers,Rams,"Puyallup,WA"
11653,Perkiomen School,Panthers,"Pennsburg,PA"
2343,Kearney,Bearcats,"Kearney,NE"
7171,Rochester,Rockets,"Rochester,IL"
3461,Bridgeport,Indians,"Bridgeport,WV"
429,Sumner,Spartans,"Sumner,WA"
6903,Pius X,Thunderbolts,"Lincoln,NE"
10249,Burleson,Elks,"Burleson,TX"
5750,Lewis-Palmer,Rangers,"Monument,CO"
585,Western,Wildcats,"Davie,FL"
15591,Plainfield East,Bengals,"Plainfield,IL"
10505,Perkiomen Valley,Vikings,"Collegeville,PA"
14221,Wachusett Regional,Mountaineers,"Holden,MA"
10256,Stevens Point,Panthers,"Stevens Point,WI"
8904,Sahuarita,Mustangs,"Sahuarita,AZ"
4465,Edmond Santa Fe,Wolves,"Edmond,OK"
10863,St. Charles North,North Stars,"St. Charles,IL"
8226,Wall,Crimson Knights,"Wall Township,NJ"
11002,Lincoln Southwest,Silver Hawks,"Lincoln,NE"
10547,Governor Livingston,Highlanders,"Berkeley Heights,NJ"
2933,Carmel,Rams,"Carmel,NY"
4067,Council Rock South,Wings,"Southampton,PA"
10321,East Catholic,Eagles,"Manchester,CT"
8624,York Community,Dukes,"Elmhurst,IL"
3378,Blue Valley North,Mustangs,"Shawnee Mission,KS"
7831,St. Raymonds,Ravens,"Bronx,NY"
3543,Burnt Hills-Ballston Lake,Spartans,"Burnt Hills,NY"
5633,Lakeside,Panthers,"Evans,GA"
13124,Timberland,T-Wolves,"Wentzville,MO"
5394,John Curtis,Patriots,"River Ridge,LA"
8523,Williamsville North,Spartans,"Williamsville,NY"
6289,Mooresville,Blue Devils,"Mooresville,NC"
7392,Seton Catholic,Sentinels,"Chandler,AZ"
5130,Heritage,Huskies,"Wake Forest,NC"
6964,Portsmouth,Clippers,"Portsmouth,NH"
9345,Pleasant Valley,Spartans,"Bettendorf,IA"
13729,Egg Harbor,Eagles,"Egg Harbor Township,NJ"
2852,Chippewa Valley,Big Reds,"Clinton Township,MI"
16857,Casteel,Colts,"Queen Creek,AZ"
7102,Ridgefield,Tigers,"Ridgefield,CT"
2775,Walt Whitman,Vikings,"Bethesda,MD"
4214,Delran,Bears,"Delran,NJ"
8575,Woodhaven,Warriors,"Woodhaven,MI"
1199,Union,Titans,"Camas,WA"
15421,Glen Allen,Jaguars,"Glen Allen,VA"
9349,Woodland Regional,Hawks,"Beacon Falls,CT"
9210,Neenah,Rockets,"Neenah,WI"
7219,Eleanor Roosevelt,Mustangs,"Eastvale,CA"
16890,Highland School,Hawks,"Warrenton,VA"
,Canyon View,Jaguars,"Waddell,AZ"
656,San Pedro,Pirates,"San Pedro,CA"
494,Tate,Aggies,"Cantonment,FL"
451,Boone,Braves,"Orlando,FL"
468,Seminole,Warhawks,"Seminole,FL"
10,Henry Clay,Blue Devils,"Lexington,KY"
186,Lincoln,Trojans,"Stockton,CA"
803,St. Thomas More,Cougars,"Lafayette,LA"
1345,De La Salle,Meteors,"Chicago,IL"
1623,El Capitan,Vaqueros,"Lakeside,CA"
3681,Cathedral,Irish,"Indianapolis,IN"
69,Pensacola Catholic,Crusaders,"Pensacola,FL"
1814,Denham Springs,Yellow Jackets,"Denham Springs,LA"
2173,Sprayberry,Yellowjackets,"Marietta,GA"
7387,Junipero Serra,Cavaliers,"Gardena,CA"
2440,William Henry Harrison,Raiders,"West Lafayette,IN"
827,Claremont,Wolfpack,"Claremont,CA"
463,Pacifica,Mariners,"Garden Grove,CA"
9560,College Park,Falcons,"Pleasant Hill,CA"
603,Jeffersonville,Red Devils,"Jeffersonville,IN"
9308,Florence,Falcons,"Florence,AL"
3,J.H. Rose,Rampants,"Greenville,NC"
3620,Cardinal Gibbons,Chiefs,"Fort Lauderdale,FL"
1890,Prospect,Knights,"Mount Prospect,IL"
5063,Hartselle ,Tigers,"Hartselle,AL"
2636,Crown Point,Bulldogs,"Crown Point,IN"
2451,Edina,Hornets,"Edina,MN"
11754,Little Rock Catholic,Rockets,"Little Rock,AR"
1192,Lincoln Southeast,Knights,"Lincoln,NE"
939,Valparaiso,Vikings,"Valparaiso,IN"
7994,Thompson,Warriors,"Alabaster,AL"
3007,Allen Park,Jaguars,"Allen Park,MI"
2502,Kirkwood,Pioneers,"Kirkwood,MO"
907,Belleville East,Lancers,"Belleville,IL"
1913,Galesburg,Silver Streaks,"Galesburg,IL"
